id,name_ja,name_en,type_primary,type_secondary,color,shape,genus_ja,rarity,type_1,type_2,motif_1,motif_2,motif_3,motif_4,texture_1,texture_2,texture_3,texture_4,texture_5,expression_1,expression_2,decoration_1,decoration_2,decoration_3,atmosphere_1,atmosphere_2,atmosphere_3
13,ビードル,weedle,むし,どく,brown,armor,けむしポケモン,通常,むし,どく,むし,どく,,,ごつごつ・かたい,こうかく・つや甲羅,ねばねば・ぷにぷに,,,とぼけた・ユニーク,,よろい・こうら,とげ・ぶくぶく,,ナチュラル,,
14,コクーン,kakuna,むし,どく,yellow,squiggle,さなぎポケモン,通常,むし,どく,むし,どく,スライム・ぶよぶよ,,こうかく・つや甲羅,ねばねば・ぷにぷに,,,,にこにこ・あどけない,とぼけた・ユニーク,ほそながい,とげ・ぶくぶく,,かわいい,,
15,スピアー,beedrill,むし,どく,yellow,bug-wings,どくばちポケモン,通常,むし,どく,むし,どく,,,こうかく・つや甲羅,ねばねば・ぷにぷに,,,,にこにこ・あどけない,とぼけた・ユニーク,むしのはね,とげ・ぶくぶく,,かわいい,,
16,ポッポ,pidgey,ノーマル,ひこう,brown,wings,ことりポケモン,通常,ノーマル,ひこう,とり・つばさ,,,,標準・なめらか,,,,,ふつう・ナチュラル,,つばさ・はね,,,ナチュラル,,
17,ピジョン,pidgeotto,ノーマル,ひこう,brown,wings,とりポケモン,通常,ノーマル,ひこう,とり・つばさ,,,,標準・なめらか,,,,,ふつう・ナチュラル,,つばさ・はね,,,ナチュラル,,
18,ピジョット,pidgeot,ノーマル,ひこう,brown,wings,とりポケモン,通常,ノーマル,ひこう,とり・つばさ,,,,標準・なめらか,,,,,ふつう・ナチュラル,,つばさ・はね,,,ナチュラル,,
19,コラッタ,rattata,ノーマル,,purple,quadruped,ねずみポケモン,通常,ノーマル,,けもの・じゅう,,,,もこもこ・ふわふわ,,,,,おだやか・やさしい,ものしずか・クール,よつあしのすがた,,,ミステリアス,おっとり,
20,ラッタ,raticate,ノーマル,,brown,quadruped,ねずみポケモン,通常,ノーマル,,けもの・じゅう,,,,もこもこ・ふわふわ,,,,,おだやか・やさしい,,よつあしのすがた,,,おっとり,,
21,オニスズメ,spearow,ノーマル,ひこう,brown,wings,ことりポケモン,通常,ノーマル,ひこう,とり・つばさ,,,,標準・なめらか,,,,,ふつう・ナチュラル,,つばさ・はね,,,ナチュラル,,
22,オニドリル,fearow,ノーマル,ひこう,brown,wings,くちばしポケモン,通常,ノーマル,ひこう,とり・つばさ,,,,標準・なめらか,,,,,ふつう・ナチュラル,,つばさ・はね,,,ナチュラル,,
23,アーボ,ekans,どく,,purple,squiggle,へびポケモン,通常,どく,,は虫類・ドラゴン,どく,スライム・ぶよぶよ,,うろこ,ねばねば・ぷにぷに,,,,ものしずか・クール,とぼけた・ユニーク,ほそながい,とげ・ぶくぶく,,ミステリアス,,
24,アーボック,arbok,どく,,purple,squiggle,コブラポケモン,通常,どく,,どく,スライム・ぶよぶよ,,,ねばねば・ぷにぷに,,,,,ものしずか・クール,とぼけた・ユニーク,ほそながい,とげ・ぶくぶく,,ミステリアス,,
25,ピカチュウ,pikachu,でんき,,yellow,quadruped,ねずみポケモン,通常,でんき,,でんき,けもの・じゅう,,,もこもこ・ふわふわ,おび電・スパーク,,,,にこにこ・あどけない,,よつあしのすがた,でんきの模様・ギザギザ,,かわいい,,
26,ライチュウ,raichu,でんき,,yellow,upright,ねずみポケモン,通常,でんき,,でんき,けもの・じゅう,,,もこもこ・ふわふわ,おび電・スパーク,,,,にこにこ・あどけない,,ちょくりつのすがた,でんきの模様・ギザギザ,,かわいい,,
27,サンド,sandshrew,じめん,,yellow,upright,ねずみポケモン,通常,じめん,,いわ・つち・こうぶつ,けもの・じゅう,,,もこもこ・ふわふわ,ごつごつ・かたい,,,,にこにこ・あどけない,,ちょくりつのすがた,とげ・こうぶつ結晶,,かわいい,,
28,サンドパン,sandslash,じめん,,yellow,upright,ねずみポケモン,通常,じめん,,いわ・つち・こうぶつ,けもの・じゅう,,,もこもこ・ふわふわ,ごつごつ・かたい,,,,にこにこ・あどけない,,ちょくりつのすがた,とげ・こうぶつ結晶,,かわいい,,
29,ニドラン♀,nidoran-f,どく,,blue,quadruped,どくばりポケモン,通常,どく,,どく,,,,ねばねば・ぷにぷに,,,,,ものしずか・クール,とぼけた・ユニーク,よつあしのすがた,とげ・ぶくぶく,,ナチュラル,,
30,ニドリーナ,nidorina,どく,,blue,quadruped,どくばりポケモン,通常,どく,,どく,,,,ねばねば・ぷにぷに,,,,,ものしずか・クール,とぼけた・ユニーク,よつあしのすがた,とげ・ぶくぶく,,ナチュラル,,
31,ニドクイン,nidoqueen,どく,じめん,blue,upright,ドリルポケモン,通常,どく,じめん,いわ・つち・こうぶつ,どく,,,ごつごつ・かたい,ねばねば・ぷにぷに,,,,ものしずか・クール,とぼけた・ユニーク,ちょくりつのすがた,とげ・こうぶつ結晶,とげ・ぶくぶく,ナチュラル,,
32,ニドラン♂,nidoran-m,どく,,purple,quadruped,どくばりポケモン,通常,どく,,どく,,,,ねばねば・ぷにぷに,,,,,ものしずか・クール,とぼけた・ユニーク,よつあしのすがた,とげ・ぶくぶく,,ミステリアス,,
33,ニドリーノ,nidorino,どく,,purple,quadruped,どくばりポケモン,通常,どく,,どく,,,,ねばねば・ぷにぷに,,,,,ものしずか・クール,とぼけた・ユニーク,よつあしのすがた,とげ・ぶくぶく,,ミステリアス,,
34,ニドキング,nidoking,どく,じめん,purple,upright,ドリルポケモン,通常,どく,じめん,いわ・つち・こうぶつ,どく,,,ごつごつ・かたい,ねばねば・ぷにぷに,,,,ものしずか・クール,とぼけた・ユニーク,ちょくりつのすがた,とげ・こうぶつ結晶,とげ・ぶくぶく,ミステリアス,,
35,ピッピ,clefairy,フェアリー,,pink,upright,ようせいポケモン,通常,フェアリー,,フェアリー・せいれい,,,,標準・なめらか,,,,,にこにこ・あどけない,,ちょくりつのすがた,ほうせき・かがやき,,かわいい,,
36,ピクシー,clefable,フェアリー,,pink,upright,ようせいポケモン,通常,フェアリー,,フェアリー・せいれい,,,,標準・なめらか,,,,,にこにこ・あどけない,,ちょくりつのすがた,ほうせき・かがやき,,かわいい,,
37,ロコン,vulpix,ほのお,,brown,quadruped,きつねポケモン,通常,ほのお,,ほのお・マグマ,けもの・じゅう,,,ほのお・ねっき,,,,,ふつう・ナチュラル,,よつあしのすがた,ほのおのかざり,,ナチュラル,,
38,キュウコン,ninetales,ほのお,,yellow,quadruped,きつねポケモン,通常,ほのお,,ほのお・マグマ,けもの・じゅう,,,ほのお・ねっき,,,,,にこにこ・あどけない,,よつあしのすがた,ほのおのかざり,,かわいい,,
39,プリン,jigglypuff,ノーマル,フェアリー,pink,humanoid,ふうせんポケモン,通常,ノーマル,フェアリー,ひとがた,フェアリー・せいれい,,,標準・なめらか,,,,,にこにこ・あどけない,,てあし・とくちょうてきなかお,ほうせき・かがやき,,かわいい,,
40,プクリン,wigglytuff,ノーマル,フェアリー,pink,humanoid,ふうせんポケモン,通常,ノーマル,フェアリー,ひとがた,フェアリー・せいれい,,,標準・なめらか,,,,,にこにこ・あどけない,,てあし・とくちょうてきなかお,ほうせき・かがやき,,かわいい,,
41,ズバット,zubat,どく,ひこう,purple,wings,こうもりポケモン,通常,どく,ひこう,とり・つばさ,どく,,,ねばねば・ぷにぷに,,,,,ものしずか・クール,とぼけた・ユニーク,つばさ・はね,とげ・ぶくぶく,,ミステリアス,,
42,ゴルバット,golbat,どく,ひこう,purple,wings,こうもりポケモン,通常,どく,ひこう,とり・つばさ,どく,,,ねばねば・ぷにぷに,,,,,ものしずか・クール,とぼけた・ユニーク,つばさ・はね,とげ・ぶくぶく,,ミステリアス,,
43,ナゾノクサ,oddish,くさ,どく,blue,legs,ざっそうポケモン,通常,くさ,どく,しょくぶつ,どく,,,ねばねば・ぷにぷに,はっぱ・しょくぶつ質,,,,おだやか・やさしい,ものしずか・クール,あし・つめ,はっぱ・はな,とげ・ぶくぶく,おっとり,,
44,クサイハナ,gloom,くさ,どく,blue,humanoid,ざっそうポケモン,通常,くさ,どく,しょくぶつ,ひとがた,どく,,ねばねば・ぷにぷに,はっぱ・しょくぶつ質,,,,ものしずか・クール,とぼけた・ユニーク,てあし・とくちょうてきなかお,はっぱ・はな,とげ・ぶくぶく,ナチュラル,,
45,ラフレシア,vileplume,くさ,どく,red,humanoid,フラワーポケモン,通常,くさ,どく,しょくぶつ,ひとがた,どく,,ねばねば・ぷにぷに,はっぱ・しょくぶつ質,,,,りりしい・するどい,とぼけた・ユニーク,てあし・とくちょうてきなかお,はっぱ・はな,とげ・ぶくぶく,かっこいい,,
46,パラス,paras,むし,くさ,red,armor,きのこポケモン,通常,むし,くさ,しょくぶつ,むし,,,ごつごつ・かたい,こうかく・つや甲羅,はっぱ・しょくぶつ質,,,りりしい・するどい,,よろい・こうら,はっぱ・はな,,ナチュラル,,
47,パラセクト,parasect,むし,くさ,red,armor,きのこポケモン,通常,むし,くさ,しょくぶつ,むし,,,ごつごつ・かたい,こうかく・つや甲羅,はっぱ・しょくぶつ質,,,りりしい・するどい,,よろい・こうら,はっぱ・はな,,ナチュラル,,
48,コンパン,venonat,むし,どく,purple,humanoid,こんちゅうポケモン,通常,むし,どく,むし,ひとがた,どく,,こうかく・つや甲羅,ねばねば・ぷにぷに,,,,ものしずか・クール,とぼけた・ユニーク,てあし・とくちょうてきなかお,とげ・ぶくぶく,,ミステリアス,,
49,モルフォン,venomoth,むし,どく,purple,bug-wings,どくがポケモン,通常,むし,どく,むし,どく,,,こうかく・つや甲羅,ねばねば・ぷにぷに,,,,ものしずか・クール,とぼけた・ユニーク,むしのはね,とげ・ぶくぶく,,ミステリアス,,
50,ディグダ,diglett,じめん,,brown,blob,もぐらポケモン,通常,じめん,,いわ・つち・こうぶつ,スライム・ぶよぶよ,,,ごつごつ・かたい,ねばねば・ぷにぷに,,,,とぼけた・ユニーク,,シンプル・そぼく,とげ・こうぶつ結晶,,ナチュラル,,
51,ダグトリオ,dugtrio,じめん,,brown,heads,もぐらポケモン,通常,じめん,,いわ・つち・こうぶつ,,,,ごつごつ・かたい,,,,,ふつう・ナチュラル,,ふくすうのあたま,とげ・こうぶつ結晶,,ナチュラル,,
52,ニャース,meowth,ノーマル,,yellow,quadruped,ばけねこポケモン,通常,ノーマル,,けもの・じゅう,,,,もこもこ・ふわふわ,,,,,にこにこ・あどけない,おだやか・やさしい,よつあしのすがた,,,かわいい,おっとり,
53,ペルシアン,persian,ノーマル,,yellow,quadruped,シャムネコポケモン,通常,ノーマル,,けもの・じゅう,,,,もこもこ・ふわふわ,,,,,にこにこ・あどけない,おだやか・やさしい,よつあしのすがた,,,かわいい,おっとり,
54,コダック,psyduck,みず,,yellow,upright,あひるポケモン,通常,みず,,みず・うみ,,,,つるつる・なめらか,みずみずしい・うるおい,,,,にこにこ・あどけない,,ちょくりつのすがた,みずのしぶき,,かわいい,,
55,ゴルダック,golduck,みず,,blue,upright,あひるポケモン,通常,みず,,みず・うみ,,,,つるつる・なめらか,みずみずしい・うるおい,,,,ものしずか・クール,,ちょくりつのすがた,みずのしぶき,,ナチュラル,,
56,マンキー,mankey,かくとう,,brown,upright,ぶたざるポケモン,通常,かくとう,,ひとがた,,,,標準・なめらか,,,,,りりしい・するどい,,ちょくりつのすがた,,,ゆうかん,,
57,オコリザル,primeape,かくとう,,brown,upright,ぶたざるポケモン,通常,かくとう,,ひとがた,,,,標準・なめらか,,,,,りりしい・するどい,,ちょくりつのすがた,,,ゆうかん,,
58,ガーディ,growlithe,ほのお,,brown,quadruped,こいぬポケモン,通常,ほのお,,ほのお・マグマ,けもの・じゅう,,,ほのお・ねっき,,,,,ふつう・ナチュラル,,よつあしのすがた,ほのおのかざり,,ナチュラル,,
59,ウインディ,arcanine,ほのお,,brown,quadruped,でんせつポケモン,通常,ほのお,,ほのお・マグマ,,,,ほのお・ねっき,,,,,ふつう・ナチュラル,,よつあしのすがた,ほのおのかざり,,ナチュラル,,
60,ニョロモ,poliwag,みず,,blue,legs,おたまポケモン,通常,みず,,みず・うみ,,,,つるつる・なめらか,みずみずしい・うるおい,,,,おだやか・やさしい,ものしずか・クール,あし・つめ,みずのしぶき,,おっとり,,
61,ニョロゾ,poliwhirl,みず,,blue,humanoid,おたまポケモン,通常,みず,,みず・うみ,ひとがた,,,つるつる・なめらか,みずみずしい・うるおい,,,,ものしずか・クール,,てあし・とくちょうてきなかお,みずのしぶき,,ナチュラル,,
62,ニョロボン,poliwrath,みず,かくとう,blue,humanoid,おたまポケモン,通常,みず,かくとう,みず・うみ,ひとがた,,,つるつる・なめらか,みずみずしい・うるおい,,,,りりしい・するどい,ものしずか・クール,てあし・とくちょうてきなかお,みずのしぶき,,ゆうかん,,
63,ケーシィ,abra,エスパー,,brown,upright,ねんりきポケモン,通常,エスパー,,エスパー・ふしぎ,,,,標準・なめらか,,,,,ものしずか・クール,,ちょくりつのすがた,ほうせき・かがやき,,ミステリアス,,
64,ユンゲラー,kadabra,エスパー,,brown,upright,ねんりきポケモン,通常,エスパー,,エスパー・ふしぎ,,,,標準・なめらか,,,,,ものしずか・クール,,ちょくりつのすがた,ほうせき・かがやき,,ミステリアス,,
65,フーディン,alakazam,エスパー,,brown,humanoid,ねんりきポケモン,通常,エスパー,,ひとがた,エスパー・ふしぎ,,,標準・なめらか,,,,,ものしずか・クール,,てあし・とくちょうてきなかお,ほうせき・かがやき,,ミステリアス,,
66,ワンリキー,machop,かくとう,,gray,upright,かいりきポケモン,通常,かくとう,,みず・うみ,ひとがた,,,標準・なめらか,,,,,りりしい・するどい,,ちょくりつのすがた,,,ゆうかん,,
67,ゴーリキー,machoke,かくとう,,gray,humanoid,かいりきポケモン,通常,かくとう,,みず・うみ,ひとがた,,,標準・なめらか,,,,,りりしい・するどい,,てあし・とくちょうてきなかお,,,ゆうかん,,
68,カイリキー,machamp,かくとう,,gray,humanoid,かいりきポケモン,通常,かくとう,,みず・うみ,ひとがた,,,標準・なめらか,,,,,りりしい・するどい,,てあし・とくちょうてきなかお,,,ゆうかん,,
69,マダツボミ,bellsprout,くさ,どく,green,humanoid,フラワーポケモン,通常,くさ,どく,しょくぶつ,ひとがた,どく,,ねばねば・ぷにぷに,はっぱ・しょくぶつ質,,,,とぼけた・ユニーク,,てあし・とくちょうてきなかお,はっぱ・はな,とげ・ぶくぶく,おっとり,,
70,ウツドン,weepinbell,くさ,どく,green,blob,ハエとりポケモン,通常,くさ,どく,しょくぶつ,とり・つばさ,どく,スライム・ぶよぶよ,ねばねば・ぷにぷに,はっぱ・しょくぶつ質,,,,とぼけた・ユニーク,,シンプル・そぼく,はっぱ・はな,とげ・ぶくぶく,おっとり,,
71,ウツボット,victreebel,くさ,どく,green,blob,ハエとりポケモン,通常,くさ,どく,しょくぶつ,とり・つばさ,どく,スライム・ぶよぶよ,ねばねば・ぷにぷに,はっぱ・しょくぶつ質,,,,とぼけた・ユニーク,,シンプル・そぼく,はっぱ・はな,とげ・ぶくぶく,おっとり,,
72,メノクラゲ,tentacool,みず,どく,blue,tentacles,くらげポケモン,通常,みず,どく,みず・うみ,どく,スライム・ぶよぶよ,,つるつる・なめらか,ねばねば・ぷにぷに,みずみずしい・うるおい,,,ものしずか・クール,とぼけた・ユニーク,しょくしゅ・ひげ,みずのしぶき,とげ・ぶくぶく,ナチュラル,,
73,ドククラゲ,tentacruel,みず,どく,blue,tentacles,くらげポケモン,通常,みず,どく,みず・うみ,どく,スライム・ぶよぶよ,,つるつる・なめらか,ねばねば・ぷにぷに,みずみずしい・うるおい,,,ものしずか・クール,とぼけた・ユニーク,しょくしゅ・ひげ,みずのしぶき,とげ・ぶくぶく,ナチュラル,,
74,イシツブテ,geodude,いわ,じめん,brown,arms,がんせきポケモン,通常,いわ,じめん,いわ・つち・こうぶつ,,,,ごつごつ・かたい,,,,,ふつう・ナチュラル,,たくましいうで,とげ・こうぶつ結晶,,ナチュラル,,
75,ゴローン,graveler,いわ,じめん,brown,humanoid,がんせきポケモン,通常,いわ,じめん,いわ・つち・こうぶつ,ひとがた,,,ごつごつ・かたい,,,,,ふつう・ナチュラル,,てあし・とくちょうてきなかお,とげ・こうぶつ結晶,,ナチュラル,,
76,ゴローニャ,golem,いわ,じめん,brown,humanoid,メガトンポケモン,通常,いわ,じめん,いわ・つち・こうぶつ,ひとがた,,,ごつごつ・かたい,,,,,ふつう・ナチュラル,,てあし・とくちょうてきなかお,とげ・こうぶつ結晶,,ナチュラル,,
77,ポニータ,ponyta,ほのお,,yellow,quadruped,ひのうまポケモン,通常,ほのお,,ほのお・マグマ,けもの・じゅう,,,ほのお・ねっき,,,,,にこにこ・あどけない,,よつあしのすがた,ほのおのかざり,,かわいい,,
78,ギャロップ,rapidash,ほのお,,yellow,quadruped,ひのうまポケモン,通常,ほのお,,ほのお・マグマ,けもの・じゅう,,,ほのお・ねっき,,,,,にこにこ・あどけない,,よつあしのすがた,ほのおのかざり,,かわいい,,
79,ヤドン,slowpoke,みず,エスパー,pink,quadruped,まぬけポケモン,通常,みず,エスパー,みず・うみ,エスパー・ふしぎ,,,つるつる・なめらか,みずみずしい・うるおい,,,,にこにこ・あどけない,おだやか・やさしい,よつあしのすがた,みずのしぶき,ほうせき・かがやき,かわいい,ミステリアス,おっとり
80,ヤドラン,slowbro,みず,エスパー,pink,upright,やどかりポケモン,通常,みず,エスパー,みず・うみ,エスパー・ふしぎ,,,つるつる・なめらか,みずみずしい・うるおい,,,,にこにこ・あどけない,ものしずか・クール,ちょくりつのすがた,みずのしぶき,ほうせき・かがやき,かわいい,ミステリアス,
81,コイル,magnemite,でんき,はがね,gray,arms,じしゃくポケモン,通常,でんき,はがね,でんき,きんぞく・メカ,,,きんぞく・メタリック,おび電・スパーク,,,,ふつう・ナチュラル,,たくましいうで,でんきの模様・ギザギザ,とげ・こうぶつ結晶,かっこいい,,
82,レアコイル,magneton,でんき,はがね,gray,heads,じしゃくポケモン,通常,でんき,はがね,でんき,きんぞく・メカ,,,きんぞく・メタリック,おび電・スパーク,,,,ふつう・ナチュラル,,ふくすうのあたま,でんきの模様・ギザギザ,とげ・こうぶつ結晶,かっこいい,,
83,カモネギ,farfetchd,ノーマル,ひこう,brown,wings,かるがもポケモン,通常,ノーマル,ひこう,とり・つばさ,,,,標準・なめらか,,,,,ふつう・ナチュラル,,つばさ・はね,,,ナチュラル,,
84,ドードー,doduo,ノーマル,ひこう,brown,legs,ふたごどりポケモン,通常,ノーマル,ひこう,その他・不定形,,,,もこもこ・ふわふわ,,,,,おだやか・やさしい,,あし・つめ,つばさ・はね,,おっとり,,
85,ドードリオ,dodrio,ノーマル,ひこう,brown,legs,みつごどりポケモン,通常,ノーマル,ひこう,その他・不定形,,,,もこもこ・ふわふわ,,,,,おだやか・やさしい,,あし・つめ,つばさ・はね,,おっとり,,
86,パウワウ,seel,みず,,white,fish,あしかポケモン,通常,みず,,みず・うみ,,,,つるつる・なめらか,みずみずしい・うるおい,,,,ふつう・ナチュラル,,ひれ,みずのしぶき,,ナチュラル,,
87,ジュゴン,dewgong,みず,こおり,white,fish,あしかポケモン,通常,みず,こおり,みず・うみ,こおり・ゆき,,,つるつる・なめらか,みずみずしい・うるおい,こおり・つめたい,,,ものしずか・クール,,ひれ,みずのしぶき,こおりのけっしょう,ナチュラル,,
88,ベトベター,grimer,どく,,purple,arms,ヘドロポケモン,通常,どく,,どく,,,,ねばねば・ぷにぷに,,,,,ものしずか・クール,とぼけた・ユニーク,たくましいうで,とげ・ぶくぶく,,ミステリアス,,
89,ベトベトン,muk,どく,,purple,arms,ヘドロポケモン,通常,どく,,どく,,,,ねばねば・ぷにぷに,,,,,ものしずか・クール,とぼけた・ユニーク,たくましいうで,とげ・ぶくぶく,,ミステリアス,,
90,シェルダー,shellder,みず,,purple,ball,２まいがいポケモン,通常,みず,,みず・うみ,,,,つるつる・なめらか,みずみずしい・うるおい,,,,にこにこ・あどけない,ものしずか・クール,まるいフォルム,みずのしぶき,,かわいい,ミステリアス,
91,パルシェン,cloyster,みず,こおり,purple,ball,２まいがいポケモン,通常,みず,こおり,みず・うみ,こおり・ゆき,,,つるつる・なめらか,みずみずしい・うるおい,こおり・つめたい,,,にこにこ・あどけない,ものしずか・クール,まるいフォルム,みずのしぶき,こおりのけっしょう,かわいい,ミステリアス,
92,ゴース,gastly,ゴースト,どく,purple,ball,ガスじょうポケモン,通常,ゴースト,どく,どく,ゴースト・れいたい,,,ねばねば・ぷにぷに,もや・はんとうめい,,,,にこにこ・あどけない,ものしずか・クール,まるいフォルム,もや・かげ,とげ・ぶくぶく,かわいい,ミステリアス,
93,ゴースト,haunter,ゴースト,どく,purple,arms,ガスじょうポケモン,通常,ゴースト,どく,どく,ゴースト・れいたい,,,ねばねば・ぷにぷに,もや・はんとうめい,,,,ものしずか・クール,とぼけた・ユニーク,たくましいうで,もや・かげ,とげ・ぶくぶく,ミステリアス,,
94,ゲンガー,gengar,ゴースト,どく,purple,upright,シャドーポケモン,通常,ゴースト,どく,どく,ゴースト・れいたい,,,ねばねば・ぷにぷに,もや・はんとうめい,,,,ものしずか・クール,とぼけた・ユニーク,ちょくりつのすがた,もや・かげ,とげ・ぶくぶく,ミステリアス,,
95,イワーク,onix,いわ,じめん,gray,squiggle,いわへびポケモン,通常,いわ,じめん,いわ・つち・こうぶつ,は虫類・ドラゴン,スライム・ぶよぶよ,,ごつごつ・かたい,うろこ,ねばねば・ぷにぷに,,,とぼけた・ユニーク,,ほそながい,とげ・こうぶつ結晶,,ナチュラル,,
96,スリープ,drowzee,エスパー,,yellow,humanoid,さいみんポケモン,通常,エスパー,,ひとがた,エスパー・ふしぎ,,,標準・なめらか,,,,,にこにこ・あどけない,ものしずか・クール,てあし・とくちょうてきなかお,ほうせき・かがやき,,かわいい,ミステリアス,
97,スリーパー,hypno,エスパー,,yellow,humanoid,さいみんポケモン,通常,エスパー,,ひとがた,エスパー・ふしぎ,,,標準・なめらか,,,,,にこにこ・あどけない,ものしずか・クール,てあし・とくちょうてきなかお,ほうせき・かがやき,,かわいい,ミステリアス,
98,クラブ,krabby,みず,,red,armor,さわがにポケモン,通常,みず,,みず・うみ,,,,つるつる・なめらか,ごつごつ・かたい,こうかく・つや甲羅,みずみずしい・うるおい,,りりしい・するどい,,よろい・こうら,みずのしぶき,,ナチュラル,,
99,キングラー,kingler,みず,,red,armor,はさみポケモン,通常,みず,,みず・うみ,,,,つるつる・なめらか,ごつごつ・かたい,こうかく・つや甲羅,みずみずしい・うるおい,,りりしい・するどい,,よろい・こうら,みずのしぶき,,ナチュラル,,
100,ビリリダマ,voltorb,でんき,,red,ball,ボールポケモン,通常,でんき,,でんき,,,,おび電・スパーク,,,,,りりしい・するどい,にこにこ・あどけない,まるいフォルム,でんきの模様・ギザギザ,,かわいい,,
101,マルマイン,electrode,でんき,,red,ball,ボールポケモン,通常,でんき,,でんき,,,,おび電・スパーク,,,,,りりしい・するどい,にこにこ・あどけない,まるいフォルム,でんきの模様・ギザギザ,,かわいい,,
102,タマタマ,exeggcute,くさ,エスパー,pink,heads,たまごポケモン,通常,くさ,エスパー,しょくぶつ,エスパー・ふしぎ,,,はっぱ・しょくぶつ質,,,,,にこにこ・あどけない,ものしずか・クール,ふくすうのあたま,はっぱ・はな,ほうせき・かがやき,かわいい,ミステリアス,
103,ナッシー,exeggutor,くさ,エスパー,yellow,legs,やしのみポケモン,通常,くさ,エスパー,しょくぶつ,エスパー・ふしぎ,,,はっぱ・しょくぶつ質,,,,,にこにこ・あどけない,おだやか・やさしい,あし・つめ,はっぱ・はな,ほうせき・かがやき,かわいい,ミステリアス,おっとり
104,カラカラ,cubone,じめん,,brown,upright,こどくポケモン,通常,じめん,,いわ・つち・こうぶつ,,,,ごつごつ・かたい,,,,,ふつう・ナチュラル,,ちょくりつのすがた,とげ・こうぶつ結晶,,ナチュラル,,
105,ガラガラ,marowak,じめん,,brown,upright,ほねずきポケモン,通常,じめん,,いわ・つち・こうぶつ,,,,ごつごつ・かたい,,,,,ふつう・ナチュラル,,ちょくりつのすがた,とげ・こうぶつ結晶,,ナチュラル,,
106,サワムラー,hitmonlee,かくとう,,brown,humanoid,キックポケモン,通常,かくとう,,ひとがた,,,,標準・なめらか,,,,,りりしい・するどい,,てあし・とくちょうてきなかお,,,ゆうかん,,
107,エビワラー,hitmonchan,かくとう,,brown,humanoid,パンチポケモン,通常,かくとう,,ひとがた,,,,標準・なめらか,,,,,りりしい・するどい,,てあし・とくちょうてきなかお,,,ゆうかん,,
